wbs_id,parent_wbs,level,element_name,responsible_org,description
1.7.3,1.7,3,Airlock Docking and Berthing Interface,Thales Alenia Space,"IDS-compatible structural and fluid interface adapters for connection to Gateway HALO or I-HAB docking port."
1.7.4,1.7,3,Airlock Avionics and Control Systems,Thales Alenia Space,"Pressure control avionics, hatch actuators, depressurization monitoring instrumentation, and safety interlock systems."
1.7.5,1.7,3,Airlock Safety and Emergency Systems,MBRSC,"Emergency pressure relief valves, crew rescue provisions, fire suppression system, and abort repressurization capability."
1.7.6,1.7,3,Airlock Crew Equipment and Stowage,MBRSC,"EVA suit maintenance tools, EVA consumables stowage, crew restraint systems, and equipment transfer provisions between airlock and cabin."
1.7.7,1.7,3,Airlock Thermal Control System,Thales Alenia Space,"Thermal control for airlock structure and crew equipment including heaters, MLI blankets, and interface to Gateway thermal management system."
1.8,1.0,2,Canadarm3,CSA - MDA Space,"Canadian Space Agency robotic system including 17m large arm, small dexterous arm, and AI autonomy software for external maintenance and element assembly."
1.8.1,1.8,3,Canadarm3 Large Arm,MDA Space,"17-meter large robotic arm for element assembly, module berthing, and large payload handling; end-effector compatible with all Gateway base points."
1.8.2,1.8,3,Canadarm3 Small Dexterous Arm,MDA Space,"Advanced small arm for fine manipulation, inspection, and servicing tasks; AI-enabled autonomous operations capability."
1.8.3,1.8,3,External Robotic Interfaces and Base Points,MDA Space,"Latching end effectors, power/data/video connectors on all Gateway module hulls, and robotic interface compatibility hardware."
1.8.4,1.8,3,Canadarm3 Ground Control Systems,CSA,"Canadian ground control segment for Canadarm3 telerobotics, operator training simulators, and mission planning tools at CSA Saint-Hubert."
1.8.5,1.8,3,Canadarm3 Software and Artificial Intelligence,MDA Space,"Autonomous robotic operations software, AI-enabled inspection algorithms, anomaly detection, and incremental fault recovery autonomy."
1.8.6,1.8,3,Canadarm3 Integration and Verification,MDA Space,"End-to-end integration of large arm, small arm, and robotic interfaces; acceptance testing, flight certification, and delivery for Gateway installation."
1.9,1.0,2,Integration Assembly and Test,NASA JSC / Northrop Grumman,"End-to-end integration and environmental testing of Gateway elements at NGIS Gilbert AZ and KSC; includes GSE, hazardous operations, and contamination control."
1.9.1,1.9,3,PPE-HALO Mechanical Integration,Northrop Grumman,"Physical mating of PPE (Maxar-built) and HALO modules at Northrop Grumman Innovation Systems (NGIS) facility in Gilbert, Arizona."
1.9.2,1.9,3,Environmental Testing,NASA JSC / NGIS,"Acoustic, vibration, thermal vacuum, electromagnetic compatibility (EMC), and structural qualification testing of PPE-HALO integrated stack."
1.9.3,1.9,3,Hazardous Operations,Northrop Grumman / SpaceX,"Xenon loading, hydrazine RCS fueling, high-pressure pressurant servicing, and hypergolic propellant handling safety operations."
1.9.4,1.9,3,System Integration Testing,NASA JSC,"End-to-end software and hardware interface testing, avionics-to-avionics compatibility verification, and integrated operational scenario simulations."
1.9.5,1.9,3,Pre-Launch Processing at Launch Site,SpaceX / NASA KSC,"Transportation to Kennedy Space Center PHSF, mate to Falcon Heavy fairing, final checkouts, encapsulation, and countdown preparations."
1.9.6,1.9,3,Ground Support Equipment and Facilities,NASA / NGIS,"Test stands, handling fixtures, electrical GSE, purge systems, and clean room facilities at NGIS Gilbert AZ and KSC."
1.9.7,1.9,3,Contamination Control,NASA JSC,"Cleanliness verification, particulate and molecular contamination monitoring, purge gas systems, and workmanship standards throughout IA&T."
1.9.8,1.9,3,Launch Site Hazardous Servicing,SpaceX / NASA KSC,"KSC Payload Hazardous Servicing Facility (PHSF) operations, propellant loading procedures, range safety compliance, and crew emergency procedures."
1.10,1.0,2,Launch Services,SpaceX / NASA,"Launch vehicle procurement and mission integration services for all Gateway elements across multiple launches 2027-2031."
1.10.1,1.10,3,PPE-HALO Launch (Falcon Heavy Block 5),SpaceX,"SpaceX Falcon Heavy Block 5 Expendable launch of PPE-HALO stack; $331.8M firm-fixed-price contract; NET April 2027 from KSC LC-39A."
1.10.2,1.10,3,I-HAB Launch (SLS Block 1B - Artemis IV),NASA / Boeing,"Co-manifested I-HAB on SLS Block 1B with Orion and Artemis IV crew; SLS cost captured in SLS/Orion program; Gateway incurs integration costs only."
1.10.3,1.10,3,ESPRIT Lunar View Launch (Commercial),SpaceX (TBC),"Commercial launch of ESPRIT Lunar View module; NET July 2029; launch vehicle contract under development; estimate based on Falcon 9 Heavy equivalent."
1.10.4,1.10,3,UAE Airlock Launch (Artemis VI or Commercial),NASA / TBD,"Launch of UAE Airlock module; planned as SLS Artemis VI co-manifested payload or dedicated commercial vehicle; NET October 2030."
1.10.5,1.10,3,KSC Payload Processing and Launch Site Operations,NASA KSC,"KSC payload processing contractor support, payload processing facility use agreements, hazardous servicing support, and launch site logistics."
1.10.6,1.10,3,Launch Site Range Safety,NASA KSC / USAF,"Range safety documentation, flight termination system certification, range scheduling coordination, and launch weather assessment services."
1.11,1.0,2,Ground Systems,NASA JSC / JPL / GSFC,"Ground-based infrastructure including mission control, Deep Space Network integration, flight dynamics, data management, and partner interfaces."
1.11.1,1.11,3,Gateway Mission Control Center,NASA JSC,"Dedicated Gateway flight control room at MCC-H Johnson Space Center; workstation development, staffing plan, display systems, and facility modifications."
1.11.2,1.11,3,Deep Space Network Integration,NASA JPL,"DSN antenna scheduling agreements, Ka/X-band link budget certification, contact time allocation, and operational interagency agreements."
1.11.3,1.11,3,Flight Dynamics Facility,NASA GSFC,"NRHO trajectory determination, stationkeeping maneuver planning, orbit maintenance operations, and conjunction assessment services."
1.11.4,1.11,3,Mission Data Management Systems,NASA JSC,"Telemetry processing, data archiving and distribution, science data downlink pipeline, and onboard software upload capability."
1.11.5,1.11,3,International Partner Ground System Interfaces,NASA JSC,"Network connections, data exchange agreements, and interface specifications for ESA ESOC, JAXA TKSC, CSA Saint-Hubert, and MBRSC control centers."
1.11.6,1.11,3,Cybersecurity and Information Assurance,NASA JSC,"Cybersecurity architecture, accreditation (ATO) under FISMA, intrusion detection, and information assurance for Gateway mission systems."
1.12,1.0,2,Mission Operations,NASA JSC,"Personnel, training, procedures, mission planning, science coordination, crew health, and visiting vehicle operations for Gateway crewed and uncrewed phases."
1.12.1,1.12,3,Flight Operations Team,NASA JSC,"Flight directors, flight controllers, mission operations directorate (MOD) staffing, shift scheduling, and certification program for crewed Gateway missions."
1.12.2,1.12,3,Crew Training and Procedures,NASA JSC,"Gateway systems training for Artemis crews, EVA training, emergency procedures development, and flight procedures verification and validation."
1.12.3,1.12,3,Mission Planning and Sequencing,NASA JSC,"Detailed mission timeline development, activity constraint management, resource allocation, and real-time mission execution planning."
1.12.4,1.12,3,Science and Payload Operations,NASA JSC,"Science payload scheduling, data return planning, payload operator training, and science team coordination for Gateway science program."
1.12.5,1.12,3,International Operations Coordination,NASA JSC,"Multi-center real-time coordination with ESA ESOC, JAXA TKSC, CSA, and MBRSC for joint crewed mission operations and planning."
1.12.6,1.12,3,Crew Health and Medical Operations,NASA JSC,"Crew health monitoring, medical countermeasures for cis-lunar radiation, telemedicine protocols, and flight surgeon support for Gateway missions."
1.12.7,1.12,3,Visiting Vehicle Operations Support,NASA JSC,"Approach corridor management, docking/undocking coordination, visiting vehicle monitoring, and Orion and HLS integrated timeline support."
1.12.8,1.12,3,Uncrewed Autonomous Operations,NASA JSC,"Ground-in-the-loop operations during between-mission uncrewed periods; anomaly response, stationkeeping coordination, and system health monitoring."
