"detail_id","parent_detail_id","wbs_id","detail_level","detail_name","fy","cost_component","amount_musd","amount_usd","cost_scope","basis_type","source_id","traceability_note"
"D-1.0-ESTIMATION_UNCERTAINTY-FY2027","D-1.0-ESTIMATION_UNCERTAINTY","1.0","3","ESTIMATION UNCERTAINTY.ToLower() FY2027","FY2027","estimation uncertainty","65","65000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-MASS_REDUCTION-FY2027","D-1.0-MASS_REDUCTION","1.0","3","MASS REDUCTION.ToLower() FY2027","FY2027","mass reduction","25","25000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-SCHEDULE_RECOVERY-FY2027","D-1.0-SCHEDULE_RECOVERY","1.0","3","SCHEDULE RECOVERY.ToLower() FY2027","FY2027","schedule recovery","60","60000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-ESTIMATION_UNCERTAINTY-FY2028","D-1.0-ESTIMATION_UNCERTAINTY","1.0","3","ESTIMATION UNCERTAINTY.ToLower() FY2028","FY2028","estimation uncertainty","65","65000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-SCHEDULE_RECOVERY-FY2028","D-1.0-SCHEDULE_RECOVERY","1.0","3","SCHEDULE RECOVERY.ToLower() FY2028","FY2028","schedule recovery","35","35000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-ESTIMATION_UNCERTAINTY-FY2029","D-1.0-ESTIMATION_UNCERTAINTY","1.0","3","ESTIMATION UNCERTAINTY.ToLower() FY2029","FY2029","estimation uncertainty","50","50000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-ESTIMATION_UNCERTAINTY-FY2030","D-1.0-ESTIMATION_UNCERTAINTY","1.0","3","ESTIMATION UNCERTAINTY.ToLower() FY2030","FY2030","estimation uncertainty","35","35000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.1-TOTAL","","1.1","1","Program Management total current cost","","total","435","435000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Rollup node for grouped current cost by WBS branch."
"D-1.1-INTEGRATION","D-1.1-TOTAL","1.1","2","Program Management integration cost","","integration","43.5","43500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Grouped component total used to bridge WBS current cost to annual line items."
"D-1.1-LABOR","D-1.1-TOTAL","1.1","2","Program Management labor cost","","labor","370.1","370100000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Grouped component total used to bridge WBS current cost to annual line items."
"D-1.1-MATERIAL","D-1.1-TOTAL","1.1","2","Program Management material cost","","material","21.4","21400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Grouped component total used to bridge WBS current cost to annual line items."
"D-1.1-INTEGRATION-FY2020","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2020","FY2020","integration","2.4","2400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2020","D-1.1-LABOR","1.1","3","Program Management labor cost FY2020","FY2020","labor","20.4","20400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2020","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2020","FY2020","material","1.2","1200000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2021","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2021","FY2021","integration","3","3000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2021","D-1.1-LABOR","1.1","3","Program Management labor cost FY2021","FY2021","labor","25.5","25500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2021","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2021","FY2021","material","1.5","1500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2022","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2022","FY2022","integration","3.5","3500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2022","D-1.1-LABOR","1.1","3","Program Management labor cost FY2022","FY2022","labor","29.8","29800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2022","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2022","FY2022","material","1.7","1700000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2023","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2023","FY2023","integration","3.8","3800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2023","D-1.1-LABOR","1.1","3","Program Management labor cost FY2023","FY2023","labor","32.3","32300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2023","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2023","FY2023","material","1.9","1900000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2024","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2024","FY2024","integration","3.8","3800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2024","D-1.1-LABOR","1.1","3","Program Management labor cost FY2024","FY2024","labor","32.3","32300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2024","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2024","FY2024","material","1.9","1900000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2025","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2025","FY2025","integration","3.6","3600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2025","D-1.1-LABOR","1.1","3","Program Management labor cost FY2025","FY2025","labor","30.6","30600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2025","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2025","FY2025","material","1.8","1800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2026","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2026","FY2026","integration","3.4","3400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2026","D-1.1-LABOR","1.1","3","Program Management labor cost FY2026","FY2026","labor","28.9","28900000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2026","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2026","FY2026","material","1.7","1700000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2027","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2027","FY2027","integration","3.3","3300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2027","D-1.1-LABOR","1.1","3","Program Management labor cost FY2027","FY2027","labor","28.1","28100000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2027","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2027","FY2027","material","1.6","1600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2028","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2028","FY2028","integration","3.2","3200000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2028","D-1.1-LABOR","1.1","3","Program Management labor cost FY2028","FY2028","labor","27.2","27200000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2028","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2028","FY2028","material","1.6","1600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2029","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2029","FY2029","integration","3.1","3100000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2029","D-1.1-LABOR","1.1","3","Program Management labor cost FY2029","FY2029","labor","26.4","26400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2029","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2029","FY2029","material","1.5","1500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2030","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2030","FY2030","integration","2.9","2900000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2030","D-1.1-LABOR","1.1","3","Program Management labor cost FY2030","FY2030","labor","24.7","24700000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2030","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2030","FY2030","material","1.4","1400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2031","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2031","FY2031","integration","2.7","2700000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2031","D-1.1-LABOR","1.1","3","Program Management labor cost FY2031","FY2031","labor","23","23000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2031","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2031","FY2031","material","1.3","1300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2032","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2032","FY2032","integration","2.5","2500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2032","D-1.1-LABOR","1.1","3","Program Management labor cost FY2032","FY2032","labor","21.3","21300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2032","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2032","FY2032","material","1.2","1200000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-INTEGRATION-FY2033","D-1.1-INTEGRATION","1.1","3","Program Management integration cost FY2033","FY2033","integration","2.3","2300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-LABOR-FY2033","D-1.1-LABOR","1.1","3","Program Management labor cost FY2033","FY2033","labor","19.6","19600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.1-MATERIAL-FY2033","D-1.1-MATERIAL","1.1","3","Program Management material cost FY2033","FY2033","material","1.1","1100000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-TOTAL","","1.2","1","Systems Engineering and Integration total current cost","","total","398","398000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Rollup node for grouped current cost by WBS branch."
"D-1.2-INTEGRATION","D-1.2-TOTAL","1.2","2","Systems Engineering and Integration integration cost","","integration","51.6","51600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Grouped component total used to bridge WBS current cost to annual line items."
"D-1.2-LABOR","D-1.2-TOTAL","1.2","2","Systems Engineering and Integration labor cost","","labor","298.6","298600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Grouped component total used to bridge WBS current cost to annual line items."
"D-1.2-MATERIAL","D-1.2-TOTAL","1.2","2","Systems Engineering and Integration material cost","","material","47.8","47800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Grouped component total used to bridge WBS current cost to annual line items."
"D-1.2-INTEGRATION-FY2020","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2020","FY2020","integration","2.3","2300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2020","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2020","FY2020","labor","13.5","13500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2020","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2020","FY2020","material","2.2","2200000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2021","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2021","FY2021","integration","3.6","3600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2021","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2021","FY2021","labor","21","21000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2021","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2021","FY2021","material","3.4","3400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2022","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2022","FY2022","integration","4.9","4900000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2022","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2022","FY2022","labor","28.5","28500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2022","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2022","FY2022","material","4.6","4600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2023","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2023","FY2023","integration","5.8","5800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2023","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2023","FY2023","labor","33.8","33800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2023","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2023","FY2023","material","5.4","5400000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2024","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2024","FY2024","integration","5.7","5700000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2024","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2024","FY2024","labor","33","33000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2024","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2024","FY2024","material","5.3","5300000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2025","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2025","FY2025","integration","5.5","5500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2025","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2025","FY2025","labor","31.5","31500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2025","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2025","FY2025","material","5","5000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2026","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2026","FY2026","integration","5.2","5200000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2026","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2026","FY2026","labor","30","30000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2026","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2026","FY2026","material","4.8","4800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2027","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2027","FY2027","integration","4.9","4900000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2027","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2027","FY2027","labor","28.5","28500000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2027","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2027","FY2027","material","4.6","4600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2028","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2028","FY2028","integration","4.2","4200000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2028","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2028","FY2028","labor","24","24000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-MATERIAL-FY2028","D-1.2-MATERIAL","1.2","3","Systems Engineering and Integration material cost FY2028","FY2028","material","3.8","3800000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-INTEGRATION-FY2029","D-1.2-INTEGRATION","1.2","3","Systems Engineering and Integration integration cost FY2029","FY2029","integration","3.6","3600000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
"D-1.2-LABOR-FY2029","D-1.2-LABOR","1.2","3","Systems Engineering and Integration labor cost FY2029","FY2029","labor","21","21000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Annual grouped detail line. Rolls to the component subtotal and then to the WBS current-cost total."
