"wbs_id","fy","labor_cost","material_cost","integration_cost","total_cost","labor_cost_usd","material_cost_usd","integration_cost_usd","total_cost_usd","cost_scope","basis_type","source_id","traceability_note"
"1.6","FY2028","20.9","11.4","5.7","38","20900000","11400000","5700000","38000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.6","FY2029","23.1","12.6","6.3","42","23100000","12600000","6300000","42000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.6","FY2030","6.1","3.3","1.6","11","6100000","3300000","1600000","11000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2024","4.4","2.4","1.2","8","4400000","2400000","1200000","8000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2025","12.1","6.6","3.3","22","12100000","6600000","3300000","22000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2026","22","12","6","40","22000000","12000000","6000000","40000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2027","26.4","14.4","7.2","48","26400000","14400000","7200000","48000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2028","23.1","12.6","6.3","42","23100000","12600000","6300000","42000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2029","12.1","6.6","3.3","22","12100000","6600000","3300000","22000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2030","5","2.7","1.3","9","5000000","2700000","1300000","9000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.7","FY2031","2.2","1.2","0.6","4","2200000","1200000","600000","4000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2020","12.1","6.6","3.3","22","12100000","6600000","3300000","22000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2021","30.3","16.5","8.2","55","30300000","16500000","8200000","55000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2022","52.3","28.5","14.2","95","52300000","28500000","14200000","95000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2023","63.3","34.5","17.2","115","63300000","34500000","17200000","115000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2024","71.5","39","19.5","130","71500000","39000000","19500000","130000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2025","70.4","38.4","19.2","128","70400000","38400000","19200000","128000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2026","64.9","35.4","17.7","118","64900000","35400000","17700000","118000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2027","46.8","25.5","12.7","85","46800000","25500000","12700000","85000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2028","37.4","20.4","10.2","68","37400000","20400000","10200000","68000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2029","30.3","16.5","8.2","55","30300000","16500000","8200000","55000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2030","34.1","18.6","9.3","62","34100000","18600000","9300000","62000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.8","FY2031","26.9","14.7","7.4","49","26900000","14700000","7400000","49000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2023","12.1","6.6","3.3","22","12100000","6600000","3300000","22000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2024","30.3","16.5","8.2","55","30300000","16500000","8200000","55000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2025","52.3","28.5","14.2","95","52300000","28500000","14200000","95000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2026","63.3","34.5","17.2","115","63300000","34500000","17200000","115000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2027","34.1","18.6","9.3","62","34100000","18600000","9300000","62000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2028","12.1","6.6","3.3","22","12100000","6600000","3300000","22000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2029","6.6","3.6","1.8","12","6600000","3600000","1800000","12000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.9","FY2030","2.8","1.5","0.7","5","2800000","1500000","700000","5000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2021","6.6","3.6","1.8","12","6600000","3600000","1800000","12000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2022","9.9","5.4","2.7","18","9900000","5400000","2700000","18000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2023","12.1","6.6","3.3","22","12100000","6600000","3300000","22000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2024","15.4","8.4","4.2","28","15400000","8400000","4200000","28000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2025","19.3","10.5","5.2","35","19300000","10500000","5200000","35000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2026","28.6","15.6","7.8","52","28600000","15600000","7800000","52000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2027","104.5","57","28.5","190","104500000","57000000","28500000","190000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2028","12.1","6.6","3.3","22","12100000","6600000","3300000","22000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2029","46.8","25.5","12.7","85","46800000","25500000","12700000","85000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2030","28.6","15.6","7.8","52","28600000","15600000","7800000","52000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.10","FY2031","22.6","12.3","6.1","41","22600000","12300000","6100000","41000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2020","5.6","1.6","0.8","8","5600000","1600000","800000","8000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2021","10.5","3","1.5","15","10500000","3000000","1500000","15000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2022","17.5","5","2.5","25","17500000","5000000","2500000","25000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2023","22.4","6.4","3.2","32","22400000","6400000","3200000","32000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2024","26.6","7.6","3.8","38","26600000","7600000","3800000","38000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2025","29.4","8.4","4.2","42","29400000","8400000","4200000","42000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
