"wbs_id","element_name","cost_type","base_cost","low_cost","high_cost","fiscal_year","contractor","notes","start_fy","end_fy","value_units","base_cost_usd","low_cost_usd","high_cost_usd","cost_scope","basis_type","source_id","methodology_note","traceability_note","confidence_level"
"1.2.1","Requirements Management","Non-Recurring","58","48","85","FY2020-FY2030","NASA JSC","System-level requirements, RTM maintenance; 1200+ Level 2 requirements tracked in DOORS.","2020","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","58000000","48000000","85000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2.2","Interface Control","Non-Recurring","72","60","108","FY2020-FY2031","NASA JSC","ICD development for 15+ inter-element interfaces; visiting vehicle and partner module interfaces.","2020","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","72000000","60000000","108000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2.3","Mass Properties Management","Non-Recurring","42","35","68","FY2020-FY2029","NASA JSC","Mass budget tracking, quarterly reporting, tiger team coordination; elevated cost per GAO-24-106878 risk.","2020","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","42000000","35000000","68000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2.4","Systems Analysis and Architecture","Non-Recurring","88","72","135","FY2020-FY2030","NASA JSC","NRHO trajectory, mission design, delta-V budgets; JPL and GSFC support contracts.","2020","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","88000000","72000000","135000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2.5","Risk and Reliability Engineering","Non-Recurring","48","40","75","FY2020-FY2033","NASA JSC","PRA development, risk register maintenance, FMEA coordination; Aerospace Corporation support.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","48000000","40000000","75000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2.6","Human Factors and Crew Systems Engineering","Non-Recurring","35","28","55","FY2020-FY2031","NASA JSC","Habitability assessments, crew workload analysis; JSC Human Research Program coordination.","2020","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","35000000","28000000","55000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2.7","Technology Maturation and Readiness","Non-Recurring","28","22","45","FY2019-FY2027","NASA JSC","TRL advancement for SEP, autonomous robotics, xenon transfer; in-house lab and contractor support.","2019","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","28000000","22000000","45000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2.8","Verification and Validation Planning","Non-Recurring","27","22","42","FY2022-FY2029","NASA JSC","V&V plan, test requirement allocation, verification method selection for all Gateway requirements.","2022","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","27000000","22000000","42000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.3","Power and Propulsion Element","Non-Recurring","405","353.1","549.7","FY2019-FY2027","Maxar Technologies","Program-reference PPE current cost anchored to the $375,000,000 Maxar firm-fixed-price award and augmented by schedule-phased government technical oversight and integration support evidenced in the priced support lines.","2019","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","405000000","353100000","549700000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","high"
"1.3.1","PPE Structure and Mechanisms","Non-Recurring","48.6","43.2","62.6","FY2019-FY2025","Maxar Technologies","Aluminum/composite bus structure, deployment mechanisms; heritage from SSL/Maxar commercial satellite bus (BSS-702).","2019","2025","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","48600000","43200000","62600000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.3.2","PPE Solar Power Array","Non-Recurring","73.4","64.8","97.2","FY2019-FY2026","Maxar Technologies","Advanced Roll-Out Solar Array (ROSA); 60 kW BOL; MMA Design subcontract; ISS ROSA demo heritage.","2019","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","73400000","64800000","97200000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.3.3","PPE Solar Electric Propulsion System","Non-Recurring","121","108","156.6","FY2019-FY2026","Maxar Technologies / Aerojet Rocketdyne","AEPS Hall thrusters (4 x 12.5 kW); xenon tanks; NASA GRC AEPS oversight; Aerojet Rocketdyne subcontract.","2019","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","121000000","108000000","156600000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.3.4","PPE Guidance Navigation and Control","Non-Recurring","41","35.6","56.2","FY2020-FY2026","Maxar Technologies","Star trackers, IMUs, reaction control; heritage from commercial GEO satellite ADCS with deep-space modifications.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","41000000","35600000","56200000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.3.5","PPE Communications and Tracking","Non-Recurring","30.2","25.9","43.2","FY2020-FY2026","Maxar Technologies","High-gain dish antenna, proximity link transponders; DSN compatibility certification.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","30200000","25900000","43200000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.3.6","PPE Thermal Control","Non-Recurring","25.9","21.6","36.7","FY2020-FY2026","Maxar Technologies","Radiator panels, heat pipes, MLI blankets; commercial GEO satellite heritage with NRHO thermal environment adjustments.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","25900000","21600000","36700000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.3.7","PPE Command and Data Handling","Non-Recurring","34.6","29.2","49.7","FY2020-FY2026","Maxar Technologies","Flight computer, mass memory, avionics; radiation-hardened processor qualification.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","34600000","29200000","49700000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.3.8","PPE Flight Software","Non-Recurring","30.3","24.8","47.5","FY2021-FY2027","Maxar Technologies","Autonomous fault management, NRHO stationkeeping, 12-month uncrewed demo operations software.","2021","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","30300000","24800000","47500000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-001;INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4","Habitation and Logistics Outpost","Non-Recurring","1122","957","1639","FY2020-FY2028","Northrop Grumman / TAS","Program-reference HALO current cost anchored to the $187,000,000 design award and $935,000,000 fabrication/integration award. Uncertainty remains elevated because of mass-reduction and rework pressure cited in GAO oversight.","2020","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","1122000000","957000000","1639000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","high"
"1.4.1","HALO Primary Structure and Pressure Vessel","Non-Recurring","188","165","258","FY2020-FY2024","Thales Alenia Space","Aluminum pressure vessel fabricated in Turin, Italy; Cygnus-derived heritage; shipped to NGIS Gilbert AZ (2024).","2020","2024","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","188000000","165000000","258000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.2","HALO Environmental Control and Life Support","Non-Recurring","208","178","305","FY2020-FY2027","Northrop Grumman","Atmosphere revitalization, water recovery, CDRA analogs; deep-space qualification adds significant cost vs. LEO systems.","2020","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","208000000","178000000","305000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.3","HALO Electrical Power Distribution","Non-Recurring","85","72","125","FY2020-FY2026","Northrop Grumman","PDU, battery, crew equipment power; interfaces with PPE 60 kW solar power via PPE-HALO umbilical.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","85000000","72000000","125000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.4","HALO Communications and Tracking","Non-Recurring","68","58","100","FY2020-FY2026","Northrop Grumman","Intra-module audio/video, UHF/S/Ka-band radios; proximity links for Orion and visiting vehicles.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","68000000","58000000","100000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.5","HALO Thermal Control","Non-Recurring","65","55","97","FY2020-FY2026","Northrop Grumman","Internal fluid loops, external radiators, cold plates; fluid interface with PPE thermal system.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","65000000","55000000","97000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.6","HALO Avionics and Flight Software","Non-Recurring","140","118","210","FY2020-FY2027","Northrop Grumman","Integrated avionics unit, FDIR, crewed/uncrewed software; significant new development for deep-space human rating.","2020","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","140000000","118000000","210000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.7","HALO Docking and Berthing Mechanisms","Non-Recurring","128","108","188","FY2020-FY2027","Northrop Grumman","Five IDS-compatible docking ports; active docking mechanisms; ISS PMA heritage adapted for Gateway mass class.","2020","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","128000000","108000000","188000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.8","HALO Interior Outfitting and Crew Systems","Non-Recurring","195","165","288","FY2020-FY2027","Northrop Grumman","Crew quarters, galley, WCS, racks, medical equipment; subject to descope under mass reduction effort.","2020","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","195000000","165000000","288000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.4.9","HALO Radiation Shielding","Non-Recurring","45","38","68","FY2021-FY2026","Northrop Grumman","Polyethylene storm shelter and supplemental shielding panels; design driven by NRHO SPE dose rates exceeding ISS by 5x.","2021","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","45000000","38000000","68000000","program_reference_nasa_led","direct_contract_plus_program_estimate","WEB-002;WEB-003;WEB-006","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.5","International Habitation Module","Non-Recurring","622","526","925","FY2020-FY2029","ESA/JAXA - TAS","Program-reference value for the ESA-led I-HAB contribution. Treat as ecosystem structural cost context supported by public partner data, not as NASA budget authority.","2020","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","622000000","526000000","925000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium_low"
"1.5.1","I-HAB Primary Structure","Non-Recurring","108","92","158","FY2021-FY2027","Thales Alenia Space","Pressure vessel and structure; sized for SLS co-manifest envelope; ATV/Columbus heritage.","2021","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","108000000","92000000","158000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.5.2","I-HAB ECLSS (JAXA Contribution)","Non-Recurring","138","118","198","FY2021-FY2028","JAXA / Thales Alenia Space","JAXA-designed ECLSS complementing HALO; water recovery, air revitalization; deep-space qualification requirement.","2021","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","138000000","118000000","198000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.5.3","I-HAB Thermal Control System","Non-Recurring","65","55","97","FY2021-FY2027","Thales Alenia Space","External radiators, internal fluid loops, interface with Gateway thermal management.","2021","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","65000000","55000000","97000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.5.4","I-HAB Communications and Avionics","Non-Recurring","85","72","127","FY2021-FY2027","Thales Alenia Space","Module avionics, software, communication interfaces; integration with Gateway core avionics.","2021","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","85000000","72000000","127000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.5.5","I-HAB Science and Payload Accommodations","Non-Recurring","48","40","75","FY2022-FY2028","ESA","Payload racks, power and data interfaces; ESA-defined science program integration.","2022","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","48000000","40000000","75000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.5.6","I-HAB Interior Outfitting and Crew Systems","Non-Recurring","92","78","138","FY2022-FY2028","Thales Alenia Space","Crew quarters, viewports, stowage, crew interfaces; habitation upgrade over HALO baseline.","2022","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","92000000","78000000","138000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.5.7","I-HAB Launch Integration and Co-Manifesting","Non-Recurring","55","46","82","FY2025-FY2028","ESA / NASA","Co-manifest adapter for SLS Block 1B, separation system, KSC processing; NASA incurs interface costs.","2025","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","55000000","46000000","82000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.5.8","I-HAB Radiation Shielding","Non-Recurring","31","25","50","FY2024-FY2027","Thales Alenia Space","Supplemental shielding panels and SPE shelter provisions for expanded habitation volume.","2024","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","31000000","25000000","50000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-010","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.6","ESPRIT Module","Non-Recurring","505","429","750","FY2020-FY2030","ESA - TAS / OHB","Program-reference value for the ESA ESPRIT contribution using the initial public contract value plus the 2024 amendment. Treat as partner-reference scope, not NASA budget authority.","2020","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","505000000","429000000","750000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium_low"
"1.6.1","Lunar Link (HALO Lunar Communication System)","Non-Recurring","88","75","128","FY2020-FY2026","Thales Alenia Space","External Ka-band system; pre-attached to HALO for 2027 launch; integration with PPE transponders.","2020","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","88000000","75000000","128000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.6.2","Lunar View Module","Non-Recurring","238","205","342","FY2021-FY2029","Thales Alenia Space / OHB","Pressurized module with windows, xenon storage, additional docking port; Oct 2024 amendment redesign.","2021","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","238000000","205000000","342000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
