"clin","subclin","description","quantity","unit","unit_price","total_price","option_year","wbs_id","notes","contract_type","pricing_basis","cost_scope","source_id","traceability_note"
"0003","AA","HALO Government Technical Oversight - Base Year FY2022","1","LOT","28500000","28500000","BASE","1.4","CPFF; resident COTR team at NGIS Gilbert AZ; 15 government FTEs; NTE $28.5M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-002;WEB-003;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0003","AB","HALO Government Technical Oversight - Option Year 1 FY2023","1","LOT","32200000","32200000","OY1","1.4","CPFF OY1; peak manufacturing phase; additional CDR action oversight; NTE $32.2M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-002;WEB-003;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0003","AC","HALO Government Technical Oversight - Option Year 2 FY2024","1","LOT","38500000","38500000","OY2","1.4","CPFF OY2; TAS structure delivery and NGIS integration oversight; NTE $38.5M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-002;WEB-003;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0003","AD","HALO Government Technical Oversight - Option Year 3 FY2025","1","LOT","42200000","42200000","OY3","1.4","CPFF OY3; peak NGIS integration including ECLSS docking ports and outfitting; NTE $42.2M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-002;WEB-003;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0003","AE","HALO Government Technical Oversight - Option Year 4 FY2026","1","LOT","28500000","28500000","OY4","1.4","CPFF OY4; environmental test support; NTE $28.5M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-002;WEB-003;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","","INTEGRATION ASSEMBLY AND TEST SUPPORT SERVICES","1","LOT","0","0","BASE","1.9","IA-T support services at NGIS Gilbert AZ and KSC including facility use and test engineering support","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","AA","IA-T Facility Use Agreement NGIS Gilbert AZ - Base Period","12","MONTH","2200000","26400000","BASE","1.9.6","Monthly NGIS clean room and integration bay lease; includes environmental test stand access; 12-month base period","NTE","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","AB","IA-T Facility Use Agreement NGIS - Option Year 1","12","MONTH","2300000","27600000","OY1","1.9.6","OY1 NGIS facility use; escalated 4.5%; covers peak integration period for T-118 through T-119","NTE","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","AC","IA-T Facility Use Agreement NGIS - Option Year 2","12","MONTH","2400000","28800000","OY2","1.9.6","OY2 NGIS facility use; covers T-121 acoustic vibration and T-122 thermal vacuum test period","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","AD","KSC Payload Hazardous Servicing Facility Processing","1","LOT","18500000","18500000","OY4","1.9.5","PHSF facility use and KSC contractor support for T-127 PPE-HALO processing; covers 60-day processing window","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","AE","Environmental Test Engineering Support - Acoustic and Vibration","1","LOT","22500000","22500000","OY2","1.9.2","Engineering test support for T-121; includes vibration fixture development data reduction and analysis","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","AF","Environmental Test Engineering Support - Thermal Vacuum","1","LOT","18800000","18800000","OY3","1.9.2","Thermal vacuum chamber access and test engineering support for T-122; 120-day chamber occupancy","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0004","AG","Contamination Control Services Throughout IA-T","12","MONTH","1500000","18000000","BASE","1.9.7","Monthly contamination monitoring cleanliness verification and purge gas services per T-120; 12-month base","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0005","","PPE-HALO LAUNCH SERVICES - FALCON HEAVY BLOCK 5","1","LOT","331800000","331800000","BASE","1.10.1","Firm-fixed-price SpaceX Falcon Heavy Block 5 Expendable; NET April 2027 KSC LC-39A; mission design integrated mission management and launch operations; source: NASA press release February 9 2021 contract L2021-PPE-FH","FFP","direct_priced_line_item","program_reference_nasa_led","WEB-004;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","","GROUND SYSTEMS DEVELOPMENT AND SUSTAINMENT","1","LOT","0","0","BASE","1.11","Mission control DSN integration flight dynamics and data management systems development","NTE","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AA","MCC-H Gateway Flight Control Room Workstation Development","1","LOT","22500000","22500000","BASE","1.11.1","Hardware and software for ~50 flight controller workstations at JSC MCC-H; display wall systems; T-141","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AB","MCC-H Gateway Workstation Development Option Year 1","1","LOT","18500000","18500000","OY1","1.11.1","OY1 additional workstation capability; training facility and simulation lab development","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AC","Deep Space Network Integration and Scheduling Services - Base Year","1","LOT","8500000","8500000","BASE","1.11.2","JPL DSN scheduling agreement Ka-band link certification and contact time allocation; interagency agreement per T-142","NTE","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AD","Deep Space Network Integration and Scheduling Services - OY1","1","LOT","9200000","9200000","OY1","1.11.2","OY1 DSN services including crewed-period contact time priority allocation","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AE","Flight Dynamics Facility Services - GSFC - Base Year","1","LOT","7500000","7500000","BASE","1.11.3","GSFC FDF trajectory determination and stationkeeping maneuver planning; interagency agreement per T-143","NTE","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AF","Flight Dynamics Facility Services - GSFC - Option Year 1","1","LOT","8200000","8200000","OY1","1.11.3","OY1 FDF services including NRHO insertion support during T-135","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AG","Mission Data Management System Development","1","LOT","15500000","15500000","BASE","1.11.4","Telemetry processing archiving and science downlink software development per T-144","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AH","International Partner Ground System Interface Development","1","LOT","6800000","6800000","BASE","1.11.5","Network connections and data exchange agreements with ESA JAXA CSA and MBRSC per T-146","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0006","AI","Cybersecurity and Information Assurance Accreditation Services","1","LOT","8500000","8500000","BASE","1.11.6","FISMA accreditation (ATO) for Gateway MCC systems; intrusion detection architecture per T-145","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0007","","MISSION OPERATIONS SERVICES - CREWED PHASE","1","LOT","0","0","OY5","1.12","Flight operations support beginning 18 months before Artemis IV; CPFF; staffing-intensive government-led operations","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0007","AA","Flight Operations Team Standup and Training Pre-Artemis IV","1","LOT","28500000","28500000","OY5","1.12.1","Flight director and controller certification training and simulation per T-150 and T-158; 18-month pre-launch period","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0007","AB","Artemis IV Mission Flight Operations Support","1","LOT","85500000","85500000","OY5","1.12.1","Mission operations for Artemis IV Gateway crewed visit (~30 days); 24/7 MCC-H staffing; ~350 operations personnel","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0007","AC","Artemis IV Post-Mission Uncrewed Gateway Operations","1","LOT","42500000","42500000","OY5","1.12.8","12-month uncrewed operations between Artemis IV and Artemis V; reduced staffing; autonomous operations support","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0007","AD","Crew Training and Procedures Development - Artemis IV","1","LOT","38500000","38500000","OY4","1.12.2","Artemis IV crew Gateway systems training EVA training and emergency procedures per T-151 and T-152","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0007","AE","Crew Health and Medical Operations Support - Artemis IV","1","LOT","12000000","12000000","OY5","1.12.6","Flight surgeon support radiation monitoring medical countermeasures and telemedicine protocol operations per T-156","NTE","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0008","","SCIENCE AND PAYLOAD OPERATIONS SUPPORT","1","LOT","0","0","OY5","1.12.4","Science operations support for Gateway science instruments and technology demonstrations beginning Artemis IV","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0008","AA","Gateway Science Operations Support - Year 1 Post Artemis IV","12","MONTH","1850000","22200000","OY5","1.12.4","Monthly science ops support; payload scheduling data return PI coordination; 12-month base per T-155","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0008","AB","Gateway Science Operations Support - Year 2 Expanded Capability","12","MONTH","1950000","23400000","OY6","1.12.4","Year 2 science ops; expanded payload set with I-HAB (1.5.5) science racks; increased data volume","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0009","","INTERNATIONAL PARTNER OPERATIONS COORDINATION SERVICES","1","LOT","0","0","OY5","1.12.5","Multi-center real-time operations coordination with ESA JAXA CSA and MBRSC for joint crewed missions","NTE","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0009","AA","International Operations Coordination - Artemis IV Mission","1","LOT","18500000","18500000","OY5","1.12.5","Joint mission planning procedures coordination and real-time links with ESA ESOC JAXA TKSC CSA and MBRSC","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0009","AB","International Operations Coordination - Sustained Operations Annual","1","YEAR","22500000","22500000","OY6","1.12.5","Annual sustained ops coordination; 5-year period of performance option; covers joint training and real-time ops","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0010","","PROGRAM RESERVES - UNALLOCATED FUTURE REQUIREMENTS","1","LOT","0","0","BASE","1.0","Program-level reserves for cost growth scope changes and undefinitized contract actions; not to be obligated without program director approval","unspecified","direct_priced_line_item","program_reference_total","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0010","AA","Cost Estimation Uncertainty Reserve 10 Percent of Base","1","LOT","350000000","350000000","BASE","1.0","Reserve for cost estimation uncertainty; represents ~10% of NASA-managed development cost base; released per IBR findings","unspecified","direct_priced_line_item","program_reference_total","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0010","AB","Schedule Recovery Reserve Fund","1","LOT","125000000","125000000","BASE","1.0","Schedule margin reserve for critical path recovery; released only by program director with JSC AA concurrence","unspecified","direct_priced_line_item","program_reference_total","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0010","AC","Mass Reduction Engineering Change Reserve","1","LOT","85000000","85000000","BASE","1.2.3","Dedicated reserve for design modifications required to address GAO-24-106878 mass risk; per T-009 tiger team recommendations","unspecified","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
