"doc_id","document_name","document_type","owner","status","version","due_date","related_wbs","related_milestone","notes","authority_tier","evidence_role","source_basis","document_location","traceability_note"
"CD-015","Gateway Safety Requirements Document (SRD)","Safety","NASA JSC Safety","Approved","2.1","12/1/2021","1.1.3","M-009","Human-rating safety requirements per NPR 8705.2C and NASA-STD-3001; applies to all crewed elements; drives T-022 and T-023 safety review panels","governing","compliance_and_assurance","internal_controlled_or_statutory","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-016","HALO Preliminary Hazard Analysis (PHA)","Safety","Northrop Grumman","Approved","3","6/30/2023","1.4","M-011","System-level hazard identification for HALO; updated post-CDR; drives ECLSS and FDIR requirements per T-052","governing","compliance_and_assurance","internal_controlled_or_statutory","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-017","PPE Failure Modes and Effects Analysis (FMEA)","Reliability","Maxar Technologies","Approved","2.5","3/31/2023","1.3","M-010","Comprehensive FMEA for all PPE subsystems; drives redundancy requirements for AEPS thrusters and GNC","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-018","HALO Failure Modes and Effects Analysis (FMEA)","Reliability","Northrop Grumman","Approved","2.2","9/30/2023","1.4","M-011","HALO FMEA including ECLSS avionics power and thermal subsystems; 847 failure modes analyzed","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-019","Gateway Program Risk Register (Living Document)","Risk Management","NASA JSC","Active","22","3/31/2025","1","M-009","22 risks as of current version; R-001 (mass score 20) and R-021 (policy score 15) at highest risk scores; reviewed monthly at Program Requirements Review","analytical","risk_authority","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-020","PPE-HALO Environmental Test Plan","Test Plan","Northrop Grumman","Approved","1.3","6/30/2025","1.9.2","M-019","Acoustic vibration thermal vacuum and EMC/RF test requirements and procedures; test facilities identified for T-121 T-122 and T-123","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-021","PPE-HALO Pre-Launch Processing Plan","Operations Plan","NASA KSC / SpaceX","Draft","0.8","6/30/2026","1.9.5","M-023","KSC PHSF processing procedures hazardous operations safety plan Falcon Heavy encapsulation plan per T-127 through T-130","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-022","Gateway Concept of Operations (ConOps)","Operations Plan","NASA JSC MOD","Approved","3.5","12/31/2023","1.12","M-009","End-to-end operational concept for uncrewed and crewed Gateway phases; defines staffing and ops tempo per T-149 through T-157","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-023","Flight Operations Plan - Artemis IV (FOP-IV)","Operations Plan","NASA JSC MOD","In Work","1.2","12/31/2027","1.12.1","M-028","Detailed flight operations plan for Artemis IV; timeline crew activities and ground control plan; tied to T-158 simulation campaign","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-024","Gateway Emergency Procedures Handbook","Operations Plan","NASA JSC MOD","Draft","0.6","6/30/2027","1.12.2","M-027","Emergency response procedures for fire depressurization medical and ECLSS failure; developed under T-153","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-025","Gateway Integrated Master Schedule (IMS)","Schedule","NASA JSC","Active","45","3/31/2025","1.1.6","M-009","Integrated schedule with 165 program tasks; maintained in Primavera P6; monthly update; 850+ activities including sub-tasks","analytical","schedule_authority","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-026","Gateway Integrated Financial Plan (IFP)","Cost","NASA JSC","Active","18","3/31/2025","1.1.1","M-009","Quarterly cost plan vs. actuals; EVM metrics; FY cost phasing; presented at quarterly program reviews","analytical","cost_basis_and_review","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-027","NASA Annual Report to Congress on Lunar Gateway","Congressional Report","NASA JSC / HQ","Required","FY2024","12/1/2024","1","M-009","Annual Congressional report on cost schedule and technical status; required by NASA Authorization Act 2017; highlights GAO-24-106878 findings","analytical","external_commitment","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-028","GAO Response Action Plan - Mass Risk (GAO-24-106878)","Corrective Action Plan","NASA JSC","In Work","1","12/31/2024","1.2.3","M-009","Formal NASA response and corrective action plan; mass reduction target 250 kg from HALO; documented per GAO recommendation; tied to T-009","analytical","execution_support","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-029","PPE-HALO Launch Campaign Plan","Launch Plan","Maxar / SpaceX / NASA","Draft","0.5","9/30/2026","1.10.1","M-023","Detailed Falcon Heavy launch campaign from L-6 months through L+30 days; covers T-130 through T-133","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-030","Gateway Crew Training Plan (CTP)","Training","NASA JSC Crew Office","In Work","1.4","6/30/2026","1.12.2","M-028","Comprehensive crew training curriculum for Gateway systems; EVA emergency and nominal procedures; covers T-151 T-152 T-153","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-031","I-HAB Interface Verification Plan","Verification","ESA / NASA","Draft","0.7","12/31/2026","1.5.7","M-031","Verification approach for I-HAB interfaces with SLS co-manifest system and Gateway docking; drives T-085 and T-086","analytical","technical_evidence","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-032","ESPRIT Xenon Transfer Interface Analysis","Engineering Report","Thales Alenia Space / ESA","Draft","0.4","12/31/2026","1.6.3","M-033","Technical analysis of on-orbit xenon transfer system per T-090; TRL advancement report; risk mitigation tied to R-016","analytical","technical_evidence","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-033","Canadarm3 Autonomous Operations Verification Plan","Verification","MDA Space / CSA","Draft","0.3","6/30/2028","1.8.5","M-035","Verification approach for Canadarm3 AI autonomous operations per T-110; phased autonomy certification schedule","analytical","technical_evidence","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-034","UAE Airlock Safety Assessment","Safety","MBRSC / Thales Alenia Space","In Work","1.1","9/30/2026","1.7","M-036","Safety assessment for EVA airlock per T-099 CDR requirements; pressurization hazard analysis; drives T-100 design","governing","compliance_and_assurance","internal_controlled_or_statutory","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-035","Gateway Data Management Plan","Data Management","NASA JSC","Approved","2","12/1/2022","1.11.4","M-009","Data rights archiving and distribution plan; science data management for all Gateway programs; covers T-144","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-036","International Partner Implementing Arrangements","Legal Agreement","NASA HQ / State Dept","Signed","Final","6/30/2021","1.1.4","M-009","Signed implementing arrangements with ESA and JAXA (2020); CSA Implementing Arrangement signed 2020; MBRSC MOU signed January 2024","governing","external_commitment","internal_controlled_or_statutory","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-037","Gateway Program Environmental Impact Statement (EIS)","Environmental","NASA","Final","Final","12/31/2021","1.1.3","M-001","Required NEPA EIS for Gateway launches from KSC; environmental impact assessment per T-007","governing","compliance_and_assurance","internal_controlled_or_statutory","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-038","PPE-HALO Delta-V Budget and Propulsion Analysis","Engineering Report","NASA JSC / Maxar","Approved","4.2","6/30/2024","1.3.3","M-026","NRHO orbit maintenance delta-V budget; lunar transit trajectory analysis per T-134; PPE propellant margin verification","analytical","technical_evidence","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-039","HALO Mass Reduction Engineering Review Report","Engineering Report","Northrop Grumman / NASA","In Work","1","6/30/2025","1.4","M-017","Systematic design review for HALO mass reduction; addresses GAO-24-106878 R-001; identifies 250 kg reduction target; tied to T-009","analytical","technical_evidence","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-040","DSN Contact Time Allocation Agreement","Agreement","NASA JPL / JSC","In Review","0.9","9/30/2026","1.11.2","M-027","DSN contact time allocation for crewed and uncrewed Gateway ops; Ka and X-band requirements; drives T-142","supporting","execution_support","execution_supporting_artifact","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-041","Cost Analysis Requirements Description (CARD)","Cost Analysis","NASA JSC","Approved","1","6/1/2022","1","M-009","CARD defining scope and assumptions for Gateway ICE; required per NPR 7120.5F; used by Aerospace Corporation for T-003 ICE","analytical","cost_basis_and_review","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
"CD-042","Gateway Independent Cost Estimate (ICE)","Cost Analysis","Aerospace Corporation","Approved","1","9/1/2022","1","M-008","Aerospace Corporation ICE of Gateway conducted prior to PCA; validated program cost estimate within 15% of program estimate at 70th percentile","analytical","cost_basis_and_review","controlled_analysis_or_review","Program repository / controlled source","Authority tier distinguishes governing baseline documents from analytical and supporting artifacts."
