term,acronym,definition,related_wbs,related_artifact
Extravehicular Activity,EVA,"Spacewalk performed by crew outside pressurized spacecraft; enabled from Gateway via UAE Airlock (1.7); Canadarm3 (1.8) provides crew EVA support and inspection",1.7,gateway_wbs.csv
Failure Mode and Effects Analysis,FMEA,"Systematic analysis identifying potential failure modes their causes and effects on system performance; PPE FMEA is CD-017; HALO FMEA is CD-018",1.2.5,gateway_contract_documents_tracker.csv
Falcon Heavy,FH,"SpaceX heavy-lift launch vehicle using three Falcon 9 first stage cores; used for PPE-HALO launch; $331.8M contract; expendable Block 5 configuration for Gateway mission",1.10.1,gateway_section_b_pricing.csv
Fault Detection Isolation and Recovery,FDIR,"Onboard software detecting hardware failures isolating the fault and initiating autonomous recovery; critical for 200-day uncrewed Gateway operations between crewed missions",1.4.6,gateway_risk_register.csv
Federal Information Security Modernization Act,FISMA,"US law requiring federal agencies to develop implement and maintain information security programs; Gateway MCC-H requires FISMA-compliant accreditation (ATO) per T-145",1.11.6,gateway_wbs.csv
Fiscal Year,FY,"US government fiscal year running October 1 through September 30; all Gateway cost phasing and budget requests organized by FY; program spans FY2019-FY2033",1.0,gateway_cost_phasing.csv
Flight Dynamics Facility,FDF,"Facility at GSFC providing NRHO trajectory determination stationkeeping maneuver planning orbit maintenance and conjunction assessment; critical for T-134 and T-135",1.11.3,gateway_wbs.csv
Flight Operations Team,FOT,"Flight directors flight controllers and supporting specialists providing 24/7 coverage during crewed Gateway missions; certification completed under T-150",1.12.1,gateway_master_schedule.csv
Government Accountability Office,GAO,"Independent congressional watchdog; issued GAO-24-106878 (July 2024) identifying PPE-HALO mass risk (R-001) and schedule concerns; drove T-009 and T-015",1.2.3,gateway_risk_register.csv
Gateway Program Office,GPO,"NASA program office at Johnson Space Center responsible for managing all elements of the Lunar Gateway program; led by program manager reporting to ESD AA",1.1,gateway_wbs.csv
Ground Support Equipment,GSE,"Test and handling equipment used at manufacturing facilities and launch sites; not flight hardware but critical for processing; WBS 1.9.6",1.9.6,gateway_wbs.csv
Habitation and Logistics Outpost,HALO,"First crewed pressurized module; built by Northrop Grumman (structure by TAS Turin); $1.122B total; 5 IDS docking ports; launched 2027 co-stacked with PPE",1.4,gateway_wbs.csv
Hall-Effect Thruster,HET,"Type of ion thruster using crossed electric and magnetic fields to ionize and accelerate xenon propellant; high specific impulse ~3000s; used in PPE AEPS system",1.3.3,gateway_wbs.csv
Human Landing System,HLS,"Lunar lander vehicle; SpaceX Starship selected as NASA HLS; docks at Gateway for crew transfer to lunar surface; 18x mass ratio to PPE design value identified in R-002",1.2.4,gateway_risk_register.csv
Human Rating,HR,"Process of certifying a spacecraft or system as safe for human occupancy; Gateway elements must comply with NPR 8705.2C and NASA-STD-3001; drives T-022 and T-023",1.2.6,gateway_wbs.csv
Implementing Arrangement,IA,"Bilateral agreement between NASA and a partner space agency defining contributions responsibilities and crew access rights for Gateway; signed with ESA JAXA CSA MBRSC",1.1.4,gateway_contract_documents_tracker.csv
Independent Cost Estimate,ICE,"Cost estimate prepared by independent organization not the program office or prime contractor; Gateway ICE performed by Aerospace Corporation (CD-042) prior to PCA (M-009)",1.0,gateway_CARD.rtf
Integrated Baseline Review,IBR,"Formal review verifying that contractor performance measurement baseline is realistic traceable and executable; PPE IBR at T-005; HALO IBR at T-006",1.1.2,gateway_master_schedule.csv
Integrated Master Schedule,IMS,"Comprehensive networked schedule integrating all program activities from all contracts and organizations; 165+ tasks; maintained in Primavera P6; document CD-025",1.1.6,gateway_master_schedule.csv
Interface Control Document,ICD,"Technical document defining interface between two systems; governs mechanical electrical thermal and data interfaces; Gateway IRD and all element ICDs tracked in CD-004 through CD-010",1.2.2,gateway_contract_documents_tracker.csv
International Docking Standard,IDS,"Common docking interface standard derived from IDSS allowing different nations vehicles to dock with each other; all Gateway ports use IDS; drives T-056 and T-066",1.4.7,gateway_wbs.csv
Japan Aerospace Exploration Agency,JAXA,"Japanese space agency contributing ECLSS hardware for I-HAB (WBS 1.5.2) valued at approximately ¥15B; also contributing JAXA rover for lunar surface exploration",1.5.2,gateway_wbs.csv
Johnson Space Center,JSC,"NASA center in Houston Texas; home of Gateway Program Office (GPO); primary human spaceflight mission control center (MCC-H) for crewed operations",1.0,gateway_wbs.csv
Kennedy Space Center,KSC,"NASA launch facility in Florida; launch site for PPE-HALO on Falcon Heavy (T-126 through T-132); payload processing per T-127 at PHSF",1.9.5,gateway_master_schedule.csv
Launch Readiness Review,LRR,"Final major review before launch certifying vehicle spacecraft ground systems and operations team are ready; PPE-HALO LRR at M-023 per T-131",1.10.1,gateway_milestones.csv
MDA Space,MDA,"Canadian aerospace company (formerly MacDonald Dettwiler and Associates); building Canadarm3 under CSA contract; heritage from ISS Canadarm2 and SSRMS",1.8,gateway_wbs.csv
Mission Control Center Houston,MCC-H,"NASA Johnson Space Center facility housing flight control rooms; dedicated Gateway flight control room being developed under T-141; hosts ~50 controller workstations",1.11.1,gateway_wbs.csv
Mission Operations Directorate,MOD,"NASA JSC directorate responsible for flight operations for all human spaceflight missions; responsible for Gateway WBS 1.12 staffing and training",1.12,gateway_wbs.csv
Mohammed Bin Rashid Space Centre,MBRSC,"UAE government space agency contributing Gateway Lunar Airlock (WBS 1.7); announced January 2024; first UAE human spaceflight hardware contribution",1.7,gateway_wbs.csv
Multi-Layer Insulation,MLI,"Thermal insulation blanket consisting of multiple thin layers of reflective material; used extensively on PPE (1.3.6) and all Gateway modules for cis-lunar thermal protection",1.3.6,gateway_wbs.csv
Near-Rectilinear Halo Orbit,NRHO,"Highly elliptical lunar orbit; perilune ~3366 km altitude; apolune ~71100 km; period 6.56 days; near-stable requiring only ~10 m/s per year stationkeeping",1.2.4,gateway_wbs.csv
Non-Advocate Review,NAR,"Independent technical and cost review performed before a Program Commitment Agreement; Gateway NAR performed by Aerospace Corporation (T-008) completing at M-008",1.1.1,gateway_master_schedule.csv
Northrop Grumman Innovation Systems,NGIS,"Division of Northrop Grumman Corporation serving as HALO prime contractor; integration facility at Gilbert Arizona used for PPE-HALO integration T-118 through T-125",1.4,gateway_wbs.csv
Orion Multi-Purpose Crew Vehicle,Orion,"NASA crewed spacecraft for Artemis missions built by Lockheed Martin; docks at Gateway HALO port for crew transfer; first crewed docking at M-030 on Artemis IV",1.4.7,gateway_milestones.csv
Payload Hazardous Servicing Facility,PHSF,"KSC facility for propellant loading and hazardous operations on spacecraft; PPE-HALO processed at PHSF per T-127 and T-128 before Falcon Heavy launch",1.9.5,gateway_master_schedule.csv
Preliminary Design Review,PDR,"Formal review establishing design is mature enough to proceed to detailed design; PPE PDR at T-028; HALO PDR at T-048; I-HAB PDR at M-012",1.2.1,gateway_master_schedule.csv
Power and Propulsion Element,PPE,"Solar electric propulsion bus providing primary Gateway power (~60 kW BOL) thrust and attitude control; built by Maxar Technologies under $375M FFP contract",1.3,gateway_wbs.csv
Probabilistic Risk Assessment,PRA,"Quantitative risk analysis using fault trees and event trees to estimate probability and consequence of undesired outcomes; drives WBS 1.2.5 reliability work",1.2.5,gateway_risk_register.csv
Program Commitment Agreement,PCA,"NASA internal document establishing approved scope cost and schedule baseline for a program; Gateway PCA baseline at M-009; approved by NASA ESD Associate Administrator",1.1,gateway_contract_documents_tracker.csv
Requirements Traceability Matrix,RTM,"Document mapping system requirements to test procedures and verification evidence; maintained in DOORS per CD-001; updated at each program review",1.2.1,gateway_contract_documents_tracker.csv
Roll-Out Solar Array,ROSA,"Flexible solar array blanket that deploys from a spool; higher power density than rigid panels; ISS ROSA flight demonstration heritage; used in PPE (1.3.2)",1.3.2,gateway_wbs.csv
Schedule Performance Index,SPI,"EVM metric equal to BCWP divided by BCWS; SPI less than 1.0 indicates schedule slippage; monitored monthly per T-004 and CD-025",1.1.6,gateway_cost_estimate.csv
Solar Electric Propulsion,SEP,"Propulsion system using solar electricity to ionize and accelerate xenon propellant via Hall-effect thrusters; high specific impulse ~3000s; PPE primary propulsion",1.3.3,gateway_wbs.csv
Space Launch System,SLS,"NASA heavy-lift launch vehicle; Block 1B with Exploration Upper Stage used for Artemis IV carrying Orion crew and I-HAB co-manifested; NASA/Boeing contract",1.10.2,gateway_wbs.csv
System Requirements Review,SRR,"First formal program technical review verifying system-level requirements are complete consistent and testable; Gateway SRR at M-002 per T-011",1.2.1,gateway_master_schedule.csv
Technology Readiness Level,TRL,"NASA 9-level scale for technology maturity; TRL 6 required at CDR; TRL 9 proven in operational environment; Canadarm3 AI autonomy (R-011) must reach TRL 6 at CDR",1.2.7,gateway_risk_register.csv
Thales Alenia Space,TAS,"Prime contractor for HALO structure I-HAB ESPRIT and UAE Airlock; Italian-French joint venture between Thales and Leonardo; extensive ISS module heritage",1.4.1,gateway_wbs.csv
Trans-Lunar Injection,TLI,"Propulsive maneuver accelerating spacecraft from Earth parking orbit to lunar transfer trajectory; PPE-HALO placed on NRHO transit trajectory after T-132 Falcon Heavy launch",1.10.1,gateway_milestones.csv
Unallocated Future Expenses,UFE,"Program-level management reserve not allocated to any WBS; Gateway UFE is ~$1755M (21% of base estimate); released through formal program change process",1.0,gateway_cost_estimate.csv
Verification and Validation Plan,V&V Plan,"Document defining how all system requirements will be verified via test analysis inspection or demonstration; Gateway V&V Plan is CD-021 updated version",1.2.8,gateway_contract_documents_tracker.csv
Xenon,Xe,"Noble gas used as propellant in Hall-effect and ion thrusters; PPE carries xenon for 15-year NRHO life; ESPRIT Lunar View (1.6.2) stores xenon for PPE refueling",1.3.3,gateway_wbs.csv
